subj,metric,time_ms,beta_uV
s7,A,-200.0,-0.10890919073834618
s7,A,-180.0,-0.09004571129799517
s7,A,-160.0,0.038741438642063565
s7,A,-140.0,0.02829647518116204
s7,A,-120.0,0.03857417288731306
s7,A,-100.0,0.12711872286327877
s7,A,-80.0,0.08873263150336624
s7,A,-60.0,0.0528200184066457
s7,A,-40.0,-0.109915030875851
s7,A,-20.0,-0.034504174955092184
s7,A,0.0,-0.10068598186919611
s7,I,-200.0,-0.02094643732986954
s7,I,-180.0,-0.01750870110750302
s7,I,-160.0,-0.10617704594724879
s7,I,-140.0,-0.23503162494826763
s7,I,-120.0,-0.01646311839631348
s7,I,-100.0,-0.059408438187490704
s7,I,-80.0,-0.05890033771456443
s7,I,-60.0,-0.05301537015041305
s7,I,-40.0,0.31546113568231005
s7,I,-20.0,0.1756428704932583
s7,I,0.0,0.20398427325377377
s8,G,-200.0,0.009840175981758823
s8,G,-180.0,0.01422585302246674
s8,G,-160.0,0.011526975872791962
s8,G,-140.0,0.016370505926462147
s8,G,-120.0,0.0006094179559722867
s8,G,-100.0,-0.02696781896732149
s8,G,-80.0,-0.03550972131706523
s8,G,-60.0,0.02009820826630828
s8,G,-40.0,-0.06698733062620235
s8,G,-20.0,0.017020687497941417
s8,G,0.0,0.05599690572906349
s8,A,-200.0,-0.013488157323613333
s8,A,-180.0,-0.11590433480190653
s8,A,-160.0,-0.07881640487017963
s8,A,-140.0,-0.012119050838960786
s8,A,-120.0,0.06346271695349963
s8,A,-100.0,0.040254733394626784
s8,A,-80.0,0.11901048236576484
s8,A,-60.0,0.031128856854136487
s8,A,-40.0,0.03148341131412968
s8,A,-20.0,-0.04361202425828454
s8,A,0.0,-0.055546580134165364
s8,I,-200.0,-0.03502133738656925
s8,I,-180.0,0.018898225084550538
s8,I,-160.0,0.05345544461532778
s8,I,-140.0,-0.06548648941405771
s8,I,-120.0,-0.1371197625755436
s8,I,-100.0,-0.1054617303232244
s8,I,-80.0,-0.04012125578218046
s8,I,-60.0,0.10961512753175848
s8,I,-40.0,0.09585192903135381
s8,I,-20.0,0.06796861062020118
s8,I,0.0,0.05546409090404923
s9,G,-200.0,-0.008716878590785536
s9,G,-180.0,-0.06818733102887056
s9,G,-160.0,-0.028147364262446205
s9,G,-140.0,-0.037109000712477976
s9,G,-120.0,-0.027549567696356837
s9,G,-100.0,-0.009336154850545397
