held_out_identity,subj,metric,time_ms,beta_uV
F_1,s10,A,520.0,0.019385749604443253
F_1,s10,A,540.0,-0.14008401616299263
F_1,s10,A,560.0,-0.1593834920578386
F_1,s10,A,580.0,-0.08186502508205418
F_1,s10,A,600.0,0.22279023144862242
F_1,s10,A,620.0,0.5127637655634676
F_1,s10,A,640.0,-0.036658374016071554
F_1,s10,A,660.0,-0.45176871867013363
F_1,s10,A,680.0,-0.11291593195802536
F_1,s10,A,700.0,0.15530708563290646
F_1,s10,A,720.0,0.058600167629247565
F_1,s10,A,740.0,-0.15736772122449177
F_1,s10,A,760.0,-0.1450446306753449
F_1,s10,A,780.0,0.05521629060303683
F_1,s10,A,800.0,0.05159442430317038
F_1,s10,A,820.0,-0.17993929392386068
F_1,s10,A,840.0,-0.1942156399490875
F_1,s10,A,860.0,-0.26345799880090004
F_1,s10,A,880.0,-0.2897320031251766
F_1,s10,A,900.0,-0.35617953549662124
F_1,s10,A,920.0,-0.42146586115970236
F_1,s10,A,940.0,-0.23879957575323824
F_1,s10,A,960.0,-0.013412912456613135
F_1,s10,A,980.0,-0.1321173298925645
F_1,s10,I,0.0,-0.014302064107174134
F_1,s10,I,20.0,0.16770668293400337
F_1,s10,I,40.0,0.5385196290527221
F_1,s10,I,60.0,0.5375953074120617
F_1,s10,I,80.0,0.2838763817200276
F_1,s10,I,100.0,0.18456946981918881
F_1,s10,I,120.0,0.20545518458905204
F_1,s10,I,140.0,0.5396449371222687
F_1,s10,I,160.0,0.7344009087611312
F_1,s10,I,180.0,0.19465098124008975
F_1,s10,I,200.0,0.1814677388985391
F_1,s10,I,220.0,0.3965149366226626
F_1,s10,I,240.0,0.534167813879689
F_1,s10,I,260.0,0.5155334452569424
F_1,s10,I,280.0,0.44457207294565565
F_1,s10,I,300.0,0.5111237765807037
F_1,s10,I,320.0,0.4155006151186097
F_1,s10,I,340.0,0.4681995268963411
F_1,s10,I,360.0,0.6853923750522355
F_1,s10,I,380.0,0.9220087188417162
F_1,s10,I,400.0,0.7316579345862146
F_1,s10,I,420.0,1.0782610623915596
F_1,s10,I,440.0,0.9126527504105089
F_1,s10,I,460.0,0.3742609173522767
F_1,s10,I,480.0,0.3704518073960875
F_1,s10,I,500.0,0.8492957659779314
F_1,s10,I,520.0,1.0251106905919034
F_1,s10,I,540.0,0.8597186528903829
F_1,s10,I,560.0,0.8134504569345428
F_1,s10,I,580.0,0.656846867630468
F_1,s10,I,600.0,0.8080233736028366
F_1,s10,I,620.0,1.0518469521348306
F_1,s10,I,640.0,0.7105205524678402
F_1,s10,I,660.0,0.6523817740358185
F_1,s10,I,680.0,0.582960861109181
F_1,s10,I,700.0,0.5244522121063657
F_1,s10,I,720.0,0.4882040169626976
F_1,s10,I,740.0,0.19684082303396622
F_1,s10,I,760.0,0.12793280648125682
F_1,s10,I,780.0,0.2298118178642033
F_1,s10,I,800.0,0.175225341046832
F_1,s10,I,820.0,0.4541774972365575
F_1,s10,I,840.0,0.6230156092107182
F_1,s10,I,860.0,0.7585534069891113
F_1,s10,I,880.0,0.4320195118415195
F_1,s10,I,900.0,0.3566969374608264
F_1,s10,I,920.0,0.5645277553108313
F_1,s10,I,940.0,0.5444685093184499
F_1,s10,I,960.0,0.30597974661665855
F_1,s10,I,980.0,0.20160844860919053
F_2,s10,G,0.0,0.21298663242485752
F_2,s10,G,20.0,0.08601843987502604
F_2,s10,G,40.0,-0.1768724773544771
F_2,s10,G,60.0,-0.1545013322079979
F_2,s10,G,80.0,0.03493947351038137
F_2,s10,G,100.0,-0.24649085749881544
F_2,s10,G,120.0,-0.23298598164389106
F_2,s10,G,140.0,-0.20237142870544508
F_2,s10,G,160.0,-0.2121677986944057
F_2,s10,G,180.0,-0.21957290061322024
F_2,s10,G,200.0,-0.0801342430112561
F_2,s10,G,220.0,0.08103769798827043
F_2,s10,G,240.0,-0.1387177763919209
F_2,s10,G,260.0,-0.34296747480774553
F_2,s10,G,280.0,-0.1308630559803971
F_2,s10,G,300.0,-0.017304370059992052
F_2,s10,G,320.0,-0.07223270191225001
F_2,s10,G,340.0,-0.04409566455281988
F_2,s10,G,360.0,0.3809206052244891
F_2,s10,G,380.0,0.10342230119357083
F_2,s10,G,400.0,-0.41360319425713643
F_2,s10,G,420.0,-0.10043662938616638
F_2,s10,G,440.0,0.21055226562978224
F_2,s10,G,460.0,0.041350923919206826
F_2,s10,G,480.0,-0.14356494618143534
F_2,s10,G,500.0,0.15544558634401973
