analysis,n_participants,participants,metric,cluster_start_ms,cluster_end_ms,cluster_mass_abs_t,joint_familywise_p,peak_time_ms,peak_t,n_permutations,seed
LOPO_s15,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,440.0,560.0,18.878876463676875,0.0857914208579142,460.0,3.2915432795704436,10000,20260931
LOPO_s15,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,100.0,11.063164819977864,0.19968003199680032,80.0,2.937197682459432,10000,20260931
LOPO_s15,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.2580648693062404,0.7791220877912208,580.0,-2.2580648693062404,10000,20260931
LOPO_s15,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,12.90915088517413,0.16098390160983903,940.0,-3.0945732723333124,10000,20260931
LOPO_s16,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,6.7262240207343265,0.3748625137486251,360.0,2.4840532157906576,10000,20260932
LOPO_s16,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,440.0,560.0,18.119448167026516,0.08499150084991501,460.0,3.0149222575570467,10000,20260932
LOPO_s16,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,7.528419905430297,0.3127687231276872,80.0,2.6564872378625246,10000,20260932
LOPO_s16,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.6487112802445676,0.68003199680032,580.0,-2.6487112802445676,10000,20260932
LOPO_s16,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.569923144347134,0.14208579142085792,940.0,-3.1576504555424485,10000,20260932
LOPO_s17,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,6.921317559851355,0.3568643135686431,360.0,2.643184125217352,10000,20260933
