contrast,time_ms,mean_beta_uV,sem_beta_uV,ci95_low,ci95_high,t,p_uncorrected,cohen_dz,n_subjects,p_fdr
Mouth,600.0,0.051034985105212836,0.09267069126496831,-0.13910956721557208,0.24117953742599776,0.5507133313518862,0.5863584937195753,0.10407503703178579,28,0.7675167515377466
Mouth,620.0,0.06488303886830059,0.08640997675453983,-0.11241558836501626,0.24218166610161745,0.7508743932730169,0.45922291171953616,0.14190192217477954,28,0.7653715195325603
Mouth,640.0,0.04177355612235367,0.08557002069115718,-0.133801623627612,0.21734873587231934,0.48817980625626467,0.6293637362609522,0.09225731160269786,28,0.7675167515377466
Mouth,660.0,0.02252246247963111,0.07495336742949174,-0.13126914412515947,0.17631406908442168,0.3004863323961779,0.766107823718199,0.05678657913529843,28,0.8152772000184016
Mouth,680.0,0.04016546952937981,0.07107006470395016,-0.10565825803841349,0.1859891970971731,0.5651531301778506,0.5766359444955865,0.10680390250859324,28,0.7675167515377466
Mouth,700.0,0.0362290878544964,0.07346654443988883,-0.11451180996762249,0.18696998567661527,0.4931372249873472,0.6259027347043549,0.0931941756817877,28,0.7675167515377466
Mouth,720.0,0.02685173192084909,0.07542434666652573,-0.12790624425511643,0.1816097080968146,0.35600881025286,0.724600692972503,0.0672793411769321,28,0.8094978545447554
Mouth,740.0,0.011092680183467703,0.07487610318164871,-0.14254039327976564,0.16472575364670106,0.14814713522893902,0.8833275188377641,0.02799717694731633,28,0.901354611058943
Mouth,760.0,-0.06793176562435599,0.06405122552972783,-0.19935402478421263,0.06349049353550065,-1.0605849468536255,0.2982741867147052,-0.2004317152595249,28,0.5736042052205869
Mouth,780.0,-0.10459667094763367,0.062455496406446306,-0.23274476439630495,0.023551422501037617,-1.6747392457973926,0.10553156171666234,-0.3164959682328411,28,0.3768984347023655
Mouth,800.0,-0.08090365589909944,0.06479611529268764,-0.2138543026060108,0.0520469908078119,-1.2485880601584392,0.22253414491269935,-0.23596096408169887,28,0.4732150104409664
Mouth,820.0,-0.04549927490155391,0.06316903519557089,-0.17511142901244342,0.08411287920933559,-0.7202781356512485,0.47754360078024616,-0.13611977298074643,28,0.7659707310099686
Mouth,840.0,-0.0270146661323374,0.06075660899144577,-0.1516769305388463,0.09764759827417148,-0.44463749015585996,0.6601256686869976,-0.08402858732345253,28,0.7795983327964214
Mouth,860.0,-0.03889794330270524,0.062077111887201004,-0.1662696558478253,0.08847376924241482,-0.62660684622999,0.536179511706978,-0.11841756320964601,28,0.7659707310099686
Mouth,880.0,-0.041047762507266335,0.06405288175263295,-0.17247341995582177,0.09037789494128912,-0.6408417761091448,0.5270278215199717,-0.12110771209469506,28,0.7659707310099686
Mouth,900.0,-0.016859486553122784,0.06882999922603572,-0.15808697941441724,0.12436800630817169,-0.244943872478579,0.8083519899011059,-0.04629004083910272,28,0.842033322813652
Mouth,920.0,0.031225352104784523,0.07258099332977318,-0.11769854492569606,0.18014924913526512,0.43021389860168374,0.6704545662049224,0.08130278473311525,28,0.7795983327964214
Mouth,940.0,0.049184302331595424,0.07452426296159974,-0.10372685463121631,0.20209545929440717,0.659977038041137,0.5148596160307624,0.12472393669070456,28,0.7659707310099686
Mouth,960.0,0.09968842634206607,0.0806610351214886,-0.06581434701109226,0.2651911996952244,1.2358932189739336,0.22714320501166388,0.23356186460258013,28,0.4732150104409664
Mouth,980.0,0.10260282539286276,0.08117339043002268,-0.06395121421762646,0.269156865003352,1.2639958100716984,0.21703555350323117,0.23887275511981038,28,0.4732150104409664
Skin,0.0,-0.023955327937835807,0.04154243324096317,-0.10919336019048902,0.0612827043148174,-0.5766472030871439,0.5689546192673801,-0.10897607811353859,28,0.6779362417235206
Skin,20.0,0.02824572710916409,0.05502783712246082,-0.08466206835460767,0.14115352257293584,0.5132988790074574,0.6119171137013751,0.09700437015014035,28,0.6779362417235206
Skin,40.0,0.05276029241277091,0.05767367437289933,-0.06557631266309089,0.1710968974886327,0.9148071973295807,0.3683909255478437,0.17288231012186156,28,0.5382498397729686
Skin,60.0,0.07351628160169535,0.0629565155559965,-0.055659818227364016,0.20269238143075471,1.1677311069782204,0.25312409581189205,0.2206804362327523,28,0.45941251446955983
Skin,80.0,0.13067687001000536,0.061732099307248094,0.004013064805002298,0.2573406752150084,2.1168382652857924,0.043632864219701646,0.4000448296922557,28,0.24240480122056474
Skin,100.0,0.06317154486606154,0.05212328690361775,-0.04377660582203852,0.1701196955541616,1.2119639535179996,0.23602592702017983,0.22903965849880514,28,0.45941251446955983
Skin,120.0,-0.02431111554604234,0.05784440571194154,-0.14299803239347048,0.09437580130138579,-0.4202846454522999,0.6776036105520297,-0.07942633226612422,28,0.6914322556653364
Skin,140.0,-0.027634611805122593,0.06523116025271286,-0.16147789703705462,0.10620867342680944,-0.42364127355795894,0.675183368673479,-0.08006067535264592,28,0.6914322556653364
Skin,160.0,-0.0351376687827123,0.06629377179100707,-0.17116125279608044,0.10088591523065585,-0.5300297121950576,0.6004234435579534,-0.10016620042451864,28,0.6779362417235206
Skin,180.0,-0.07901567812144049,0.06827367927135033,-0.21910169672278457,0.061070340479903576,-1.1573373365070398,0.2572710081029535,-0.21871619824339297,28,0.45941251446955983
