stage,contrast,channel,mean_beta_uV,t,p_uncorrected,n_subjects,p_fdr
LPP,Surface_minus_Structural,PO8,-0.01891901016956407,-0.17464949880664055,0.8626580973435947,28,0.934828803110782
LPP,Surface_minus_Structural,POZ,-0.29544031488186595,-3.0406925491003776,0.005198958263948212,28,0.0831833322231714
LPP,Surface_minus_Structural,PZ,-0.3285528952350437,-2.767846522757464,0.01006770764823558,28,0.09520370427930128
LPP,Surface_minus_Structural,T7,0.27494566855909836,2.362017844721481,0.025642273090973514,28,0.1589088969858273
LPP,Surface_minus_Structural,T8,0.011147474335266975,0.10442699732852884,0.9176023783899862,28,0.934828803110782
LPP,Surface_minus_Structural,TP7,0.06730827117569681,0.7230384256853755,0.4758736087812372,28,0.7613977740499795
LPP,Surface_minus_Structural,TP8,-0.02988917358412669,-0.2564912306630027,0.799590247947271,27,0.8823064804935403
N170,Eye,AF3,0.12932359999066895,0.8113274685310438,0.4242724918456844,28,0.7200889101241562
N170,Eye,AF4,0.17349989407499342,1.036613113555285,0.3091115149200461,28,0.6821771363752742
N170,Eye,C1,-0.22025771562078014,-3.1917060656973004,0.0035729945805332143,28,0.22867165315412571
N170,Eye,C2,-0.15134035062030643,-1.8190523553493043,0.08001158816421713,28,0.4058890569829848
N170,Eye,C3,-0.15202106468883225,-2.12654466335928,0.04274688441239126,28,0.30397784471033784
N170,Eye,C4,-0.051470643668758954,-0.7090365169340207,0.4843797183346133,28,0.7207038371362012
N170,Eye,C5,-0.07373048925384518,-1.0885111282615756,0.2859906166621061,28,0.6821771363752742
N170,Eye,C6,0.04427823753893178,0.569750912356382,0.5735571170187824,28,0.7650522506204506
N170,Eye,CB1,-0.0702342345921602,-0.39464495640530894,0.6962051657392127,28,0.7682263897812002
N170,Eye,CB2,0.09425632707669397,0.7576249442077825,0.45523742984099214,28,0.7200889101241562
N170,Eye,CP1,-0.1707514224579258,-2.5355511883919912,0.017326720479972295,28,0.30397784471033784
N170,Eye,CP2,-0.10644389038870739,-1.4689820493282004,0.1533935732510114,28,0.5829758309137054
N170,Eye,CP3,-0.14955179510662003,-2.2496762172986875,0.032825337725179586,28,0.30397784471033784
N170,Eye,CP4,0.021050152692030203,0.26913071591257604,0.7898750911966332,28,0.8287214071571234
N170,Eye,CP5,-0.0016465827043316164,-0.020544944009495192,0.9837597386690887,28,0.9837597386690887
N170,Eye,CP6,0.07114610567628389,0.8752010529102312,0.3894782167215049,27,0.7200889101241562
N170,Eye,CPZ,-0.15312069603766562,-1.8037127049828696,0.08244621469966879,28,0.4058890569829848
N170,Eye,CZ,-0.27002397375325343,-2.451277547399071,0.021269164445777363,27,0.30397784471033784
N170,Eye,F1,-0.030206256959042853,-0.2708801597705632,0.7885433347039712,28,0.8287214071571234
N170,Eye,F2,-0.04702810324468064,-0.44485883722702513,0.659967684673805,28,0.7650522506204506
N170,Eye,F3,-0.09323037490288669,-0.9037036407523942,0.37414533143782464,28,0.7200889101241562
N170,Eye,F4,-0.039221865090758375,-0.41805684754489686,0.6792118728259903,28,0.7650522506204506
N170,Eye,F5,-0.03096916805371543,-0.28450094240624424,0.778197190403459,28,0.8287214071571234
N170,Eye,F6,0.0860175455654062,1.01302043310446,0.32038538174167097,27,0.6834888143822314
N170,Eye,F7,-0.13235680672194422,-1.1384725064947712,0.26492449331474677,28,0.6821771363752742
N170,Eye,F8,0.21023833870620615,2.1860499069852386,0.03765823942008406,28,0.30397784471033784
N170,Eye,FC1,-0.16772631366197094,-1.7584738823061818,0.08999854984116314,28,0.4114219421310315
N170,Eye,FC2,-0.21149797649222818,-2.0169497444808013,0.05413697148571781,27,0.346476617508594
N170,Eye,FC3,-0.23007400753989193,-2.8161117625287178,0.008972290887178574,28,0.2871133083897144
N170,Eye,FC4,-0.1926641056777792,-2.1385156955524205,0.04167633492422081,28,0.30397784471033784
N170,Eye,FC5,-0.08291094131499277,-1.1438820844162108,0.2627130547426253,28,0.6821771363752742
N170,Eye,FC6,0.1290844275372284,1.4456535255940473,0.15978273032314377,28,0.5829758309137054
N170,Eye,FCZ,-0.22510697290479303,-2.189330459677836,0.03739420534571748,28,0.30397784471033784
N170,Eye,FP1,0.17465687706672176,1.072907047039051,0.2944414478007303,24,0.6821771363752742
N170,Eye,FP2,0.35523574123199325,1.6739059370856428,0.1066169566775482,26,0.454899015157539
N170,Eye,FPZ,0.5681210629295091,1.839182812933539,0.07883412970554128,24,0.4058890569829848
N170,Eye,FT7,-0.04929447632599309,-0.4845942233455549,0.6318723725677441,28,0.7650522506204506
N170,Eye,FT8,-0.016601556046528635,-0.17399727004925808,0.863165649068092,28,0.8910097022638369
N170,Eye,FZ,-0.043560483359762495,-0.4508045422885735,0.6557300163469206,28,0.7650522506204506
N170,Eye,M1,0.07316504637793302,0.5949928510463709,0.556802440086175,28,0.7650522506204506
N170,Eye,M2,0.14852486645189544,0.80978109569826,0.4254155639269092,27,0.7200889101241562
N170,Eye,O1,0.05597866783977307,0.5249796558150295,0.6038818398884339,28,0.7650522506204506
N170,Eye,O2,0.09620791853866117,0.7937542108809417,0.4342594868563194,28,0.7200889101241562
N170,Eye,OZ,-0.0032528861913496965,-0.025881579201319543,0.9795421388273077,28,0.9837597386690887
N170,Eye,P1,-0.08090550874721922,-0.9641621630073105,0.3435213464179044,28,0.7092053603466413
N170,Eye,P2,-0.05064549182523775,-0.5649451515882769,0.5767754082818802,28,0.7650522506204506
N170,Eye,P3,0.0295123766736204,0.415064274017961,0.6813746607088388,28,0.7650522506204506
N170,Eye,P4,0.06606555436418546,0.7535954684279274,0.4576139272715416,28,0.7200889101241562
N170,Eye,P5,-0.027970858599810904,-0.41678903519417215,0.6801278048938216,28,0.7650522506204506
N170,Eye,P6,0.10443812944914546,1.2356026106974525,0.22724955059134402,28,0.6821771363752742
N170,Eye,P7,0.049992031785774105,0.519264422443111,0.6078071306267436,28,0.7650522506204506
N170,Eye,P8,0.12689110258424327,1.4307944124993814,0.16396195244447964,28,0.5829758309137054
N170,Eye,PO3,0.042828101771804836,0.48167794282747434,0.6339160433256863,28,0.7650522506204506
N170,Eye,PO4,0.09785629298613184,1.2176576308096165,0.23388919557094529,28,0.6821771363752742
N170,Eye,PO5,0.06087359887138263,0.7285348255531845,0.4725583472689775,28,0.7200889101241562
N170,Eye,PO6,0.10644426552348339,1.1443051926569585,0.2625406571471812,28,0.6821771363752742
N170,Eye,PO7,0.09551202864240046,1.18050097242872,0.24809676352030496,28,0.6821771363752742
N170,Eye,PO8,0.10098643688809816,1.0799981251426425,0.2896963091932313,28,0.6821771363752742
N170,Eye,POZ,0.08442951086695434,0.8611470280868987,0.3967403639814239,28,0.7200889101241562
N170,Eye,PZ,-0.06821919274516038,-0.7455963526299088,0.4623533684653896,28,0.7200889101241562
N170,Eye,T7,-0.08671726398229877,-0.8264606518976447,0.41578685847071906,28,0.7200889101241562
N170,Eye,T8,0.0790434116607261,0.690967958353413,0.49548388803113835,28,0.7207038371362012
N170,Eye,TP7,0.044589924253173,0.44936243163872003,0.6567567805634829,28,0.7650522506204506
N170,Eye,TP8,0.08888530656582892,1.0598023005646364,0.2989811827018479,27,0.6821771363752742
N170,FSlim,AF3,0.10152172873629309,0.4265588928203588,0.673082544299591,28,0.9555587799683452
N170,FSlim,AF4,0.17913363674760158,1.0302980795503962,0.3120116690365453,28,0.9540032503782641
N170,FSlim,C1,-0.034231691096299574,-0.4293463610468589,0.6710779487371084,28,0.9555587799683452
N170,FSlim,C2,0.013039316874473888,0.14159576914587363,0.8884505432929215,28,0.9789916917078325
N170,FSlim,C3,-0.056497074011754966,-1.0754478996419201,0.2916909619557558,28,0.9540032503782641
N170,FSlim,C4,0.046854266958890424,0.6943165392380912,0.4934152070688128,28,0.9540032503782641
N170,FSlim,C5,-0.04183803068179437,-0.7419461697752454,0.4645256658648182,28,0.9540032503782641
N170,FSlim,C6,0.10236935463345727,1.7787454011426065,0.08654446404122418,28,0.9540032503782641
N170,FSlim,CB1,-0.14206533121251502,-0.6793055744353648,0.5027267027129968,28,0.9540032503782641
N170,FSlim,CB2,-0.12434591213559743,-0.7028820865693902,0.48814589571999656,28,0.9540032503782641
N170,FSlim,CP1,-0.007059685740680436,-0.09441661204157362,0.9254754308218803,28,0.9789916917078325
N170,FSlim,CP2,-0.029854516938932176,-0.3657037757322555,0.7174357721898363,28,0.9565810295864484
N170,FSlim,CP3,-0.08405312706294756,-1.0957206080878397,0.28287890352623923,28,0.9540032503782641
N170,FSlim,CP4,-0.03632522503983603,-0.47826656442273474,0.6363104164044202,28,0.9555587799683452
N170,FSlim,CP5,-0.08638678177602042,-1.2809151477840515,0.21111712247005218,28,0.9540032503782641
N170,FSlim,CP6,-0.00041693320769537324,-0.005741412764459663,0.9954628673837118,27,0.9954628673837118
N170,FSlim,CPZ,-0.11246916513069073,-1.1861431518216616,0.24589916134561077,28,0.9540032503782641
N170,FSlim,CZ,-0.025159438921065088,-0.2608760044566564,0.796243356264794,27,0.9619862025920967
N170,FSlim,F1,0.11060265010961615,0.642168563277066,0.5261791335422293,28,0.9540032503782641
N170,FSlim,F2,0.18626898841131087,1.433673649702621,0.16314542040223184,28,0.9540032503782641
N170,FSlim,F3,0.021469491320626033,0.13199423892730494,0.8959675685083712,28,0.9789916917078325
N170,FSlim,F4,0.07991478445298499,0.7198056633451888,0.47782978846985075,28,0.9540032503782641
N170,FSlim,F5,0.06553520901401932,0.3890037435207562,0.700324405782927,28,0.9555587799683452
N170,FSlim,F6,0.28044537080129317,1.91527270721827,0.06651875300736676,27,0.9540032503782641
N170,FSlim,F7,-0.0730303057137628,-0.5581433224203105,0.5813457306992547,28,0.9540032503782641
N170,FSlim,F8,0.25266834990503656,1.7393854114943086,0.09335749068699781,28,0.9540032503782641
N170,FSlim,FC1,-0.0042488913140722095,-0.03858425360158066,0.9695057398584596,28,0.9954628673837118
N170,FSlim,FC2,0.12235522258384049,1.1904483727639699,0.2446263554484889,27,0.9540032503782641
N170,FSlim,FC3,-0.0016509847599749522,-0.016362439580789378,0.9870655581159621,28,0.9954628673837118
N170,FSlim,FC4,0.13171414519575314,1.549398485789065,0.13292920422200782,28,0.9540032503782641
N170,FSlim,FC5,0.04221251521250115,0.5012626242445855,0.6202488336717534,28,0.9555587799683452
N170,FSlim,FC6,0.2049395479350602,1.683819649782295,0.10374500249839343,28,0.9540032503782641
N170,FSlim,FCZ,0.08422768246550204,0.7025271890323928,0.48836358147887604,28,0.9540032503782641
