identity,picture_filename,cond_id,fslim,eye,mouth,skin,g_total,g_eye,g_mouth,g_contour,eye_ratio_change,mouth_ratio_change,face_ratio_change,G_new_raw,G_new,G_raw,G,difference_z,mean_z
F_1,F_1_ (4).jpg,4,1,0,0,0,0.01888196487099196,0.009551448776406464,0.03167857179563943,0.018981446539650157,0.0749122807017546,0.1268264172998248,0.012062499999999976,1.4397196472816833,1.8128261000112869,1.430891382485266,2.1844282176630254,-0.37160211765173856,1.9986271588371562
F_1,F_1_ (5).jpg,5,1,0,0,1,0.01775511840208441,0.007220216606498195,0.03308718913325516,0.018207285864476872,0.02666666666666684,0.1694915254237288,0.009395833333333381,1.314329387792281,1.420897501631531,1.0970879682076993,0.8736859017222851,0.547211599909246,1.1472917016769082
F_1,F_1_ (6).jpg,6,0,0,1,0,0.0065212322606476355,0.006252891002053708,0.008842923259145046,0.002916667209190377,0.013333333333333197,0.09731151373465785,0.002171266233766289,0.5239510346875652,-1.049564569213869,0.8073303543182442,-0.2641022383807847,-0.7854623308330844,-0.6568334037973269
F_1,F_1_ (7).jpg,7,0,0,1,1,0.005346434262737785,0.005105464124090596,0.008842923259145046,0.0023318855436249065,0.0,0.09731151373465785,0.002182604438642266,0.45898524448508393,-1.2526262041476715,1.154516795854731,1.099191068332833,-2.3518172724805044,-0.07671756790741924
F_1,F_1_ (8).jpg,8,1,0,1,0,0.011996682707143373,0.007220216606498195,0.01398188933648887,0.01956440827908823,0.02666666666666684,0.011104617182934096,0.00898228609625673,0.857416309495646,-0.007262094555563216,0.7632546054823991,-0.4371740124695871,0.4299119179140239,-0.22221805351257515
F_1,F_1_ (9).jpg,9,1,0,1,1,0.01125493773650574,0.007220216606498195,0.013507788399905926,0.01918628181552825,0.02666666666666684,0.028345996493278847,0.00630848930481287,0.8110754252227348,-0.1521084159103378,0.8049484574271101,-0.2734552075652793,0.1213467916549415,-0.21278181173780855
F_2,F_2_ (10).jpg,10,0,1,0,0,0.008097958036258377,0.0035087719298245615,0.019536015308175513,0.003269673652405792,0.012048192771084487,0.1166666666666667,0.002624671916010457,0.6088613177773841,-0.7841630270611183,0.5653206181414617,-1.2143992949974451,0.43023626793632685,-0.9992811610292818
F_2,F_2_ (11).jpg,11,0,1,0,1,0.007109672718633151,0.0,0.01569170510526168,0.004152284917400126,0.0,0.10000000000000009,0.004919542125297216,0.5113962733628948,-1.0888066126469662,0.8002217193584672,-0.2920156396577637,-0.7967909729892024,-0.690411126152365
F_2,F_2_ (12).jpg,12,1,1,0,0,0.016857054725792752,0.0085947008518708,0.0303868562731382,0.014857246528311429,0.076592082616179,0.12655367231638426,0.0019317585301837914,1.1274573295122137,0.8367970764766015,1.202634152935332,1.2881329825228718,-0.4513359060462703,1.0624650294997366
F_2,F_2_ (13).jpg,13,1,1,0,1,0.0170768050123015,0.0085947008518708,0.0303868562731382,0.015736247674346414,0.076592082616179,0.12655367231638426,0.002772441648547286,1.1576299816451976,0.9311068363258489,0.9357599525435653,0.2402008987741227,0.6909059375517261,0.5856538675499858
