identity,picture_filename,cond_id,fslim,eye,mouth,skin,g_total,g_eye,g_mouth,g_contour,eye_ratio_change,mouth_ratio_change,face_ratio_change,a_deltaE,a_luminance,a_contrast,a_texture,a_edge,a_one_minus_ssim,identity_cosine,identity_distance,G_raw,A_raw,I_raw,G,A,I
M_1,M_1_ (11).jpg,11,0,1,0,1,0.009689879344082997,0.008950718749196805,0.019762651893665818,0.0022945969145352543,0.07407407407407396,0.01787330316742075,0.00222717149220486,18.145273755512996,17.14215543235096,0.2505317984146025,0.002063909057061824,0.00039879389164478203,0.007857799219292305,0.919855074967132,0.08014492503286796,0.7150101841842733,0.7872582488813729,0.08014492503286796,-0.6266148683709102,0.05880078272213588,-0.4785917796673235
M_1,M_1_ (12).jpg,12,1,1,0,0,0.016751553372652325,0.006329113924050633,0.03552206379848678,0.016782405036854818,0.09876543209876543,0.025443510737628294,0.014517293630696315,2.417643333187836,2.416109167536149,1.8512963242083522,0.0012113961910781715,0.001350273123427238,0.026448016822732345,0.9037295190262873,0.09627048097371271,1.2958730197532795,0.66568295211094,0.09627048097371271,1.6542530490091423,-0.1871821702294842,-0.07151502621904088
M_1,M_1_ (13).jpg,13,1,1,0,1,0.01701481366620269,0.006329113924050633,0.03334067643307829,0.01789381623693691,0.09876543209876543,0.009570494864612478,0.012234188607865293,16.012912710568145,14.903225806451587,1.4966127313409388,0.002024316681754255,0.0008421398568362257,0.025274894850954133,0.8974976411835638,0.10250235881643621,1.2146260928781945,1.0345670663088244,0.10250235881643621,1.3352216055297643,0.5591800112149787,0.08580374216379197
M_1,M_1_ (14).jpg,14,0,1,1,0,0.008693526171692091,0.007076164485758828,0.018721771465505115,0.003494995293830766,0.02499999999999991,0.08290707587382773,0.0038066197316433126,0.3174193131702617,0.3167567249512331,0.11111624714676083,0.000999681640131268,0.00014710064626217295,0.0012532292704308112,0.9342992373102101,0.06570076268978986,0.7410873742959151,0.09559720301437075,0.06570076268978986,-0.5242178433610393,-1.340635048598396,-0.8432230974631273
M_1,M_1_ (15).jpg,15,0,1,1,1,0.00841248628664237,0.007076164485758828,0.01733299232611285,0.0037596148930241304,0.02499999999999991,0.002278376139188243,0.001890621133382786,18.588458392526146,17.59687641022623,0.3400458760817351,0.002095954752298978,0.00020601565718994692,0.008925315242155452,0.9250287577741975,0.07497124222580254,0.48990368863416267,0.8074409518074998,0.07497124222580254,-1.5105381498305428,0.09963638827848924,-0.6091972613138101
M_1,M_1_ (16).jpg,16,1,1,1,0,0.01188251506393401,0.005481173441673662,0.01790143749839361,0.016395899496734662,0.08641975308641969,0.0,0.01058412634136463,1.996897315057646,1.9963101148078692,1.826448335786278,0.001235383472776041,0.0002775122567913405,0.023971802378932483,0.924533485942683,0.07546651405731697,0.9490759190252497,0.5479357983825127,0.07546651405731697,0.2924885627064005,-0.42541965222764366,-0.5966945203238633
M_1,M_1_ (17).jpg,17,1,1,1,1,0.012374241756679016,0.006329113924050633,0.020751387735132912,0.017941105992934123,0.0,0.004049445865302648,0.012234188607865293,16.397256014205908,15.301629816542203,1.4529244921276714,0.001984917016225481,0.000920391321433742,0.02473826664111145,0.9083713663225478,0.09162863367745222,0.8249595527763053,1.04099162846782,0.09162863367745222,-0.19487785232976743,0.5721788095997777,-0.18869474605606268
M_1,M_1_ (2).jpg,2,0,0,0,0,0.007118078000295824,0.004475359374598403,0.02099129614148987,0.0030056564850950186,0.025316455696202667,0.01746323529411775,0.0025652243079860026,0.004067040568683898,0.0027272199764070137,0.00627257040433804,0.0010827616036335524,0.00013539389953772657,0.0014833238904334856,0.9157314652929625,0.08426853470703755,0.4842023134784937,0.0840983049572745,0.08426853470703755,-1.5329256790047487,-1.3639007364059712,-0.37449455382241115
M_1,M_1_ (3).jpg,3,0,0,0,1,0.007282596747222493,0.004475359374598403,0.018721771465505115,0.00276869918676114,0.025316455696202667,0.03308823529411775,0.0003330814508430979,19.75113849219851,18.18270874996378,0.10527964294955083,0.0031179283334382985,0.0005603377484083502,0.009172559502721667,0.9146455480289304,0.08535445197106961,0.46869233282689743,0.8988575197794783,0.08535445197106961,-1.593828555038739,0.28459927083604664,-0.34708144161857496
M_1,M_1_ (4).jpg,4,1,0,0,0,0.0181784898960063,0.007751549818934107,0.03552206379848678,0.01847799908325699,0.012820512820512775,0.025443510737628294,0.014209048330131036,2.2387371850908493,2.237683983794028,1.8357806698695711,0.0012573623976177188,0.0004923329401507765,0.02633701786616094,0.8926170351083821,0.10738296489161792,1.1340700467393054,0.5986214338599761,0.10738296489161792,1.0189030360878202,-0.32286754980079585,0.20901073628128308
