"picture_filename","stimtype_identity","cond_id","fslim_raw","eye_raw","mouth_raw","skin_raw","original_flag","attention_or_back_flag","n_trial_references","n_unique_mapping_tuples","mapping_consistent","physical_file_found","n_physical_matches","resolved_path","width_px","height_px","color_mode","file_sha256","duplicate_content_count","audit_status"
"M_1_ (12).jpg","M_1","12","1","2","1","0","0","0","180","1","True","True","1","M_1_ (12).jpg","768","1024","RGB","a7fda5d1f13360052d110d895c1696ad302bff337b1e41a1cd7c8acfb984516e","1","found"
"M_1_ (13).jpg","M_1","13","1","2","1","1","0","0","180","1","True","True","1","M_1_ (13).jpg","768","1024","RGB","bce83fd930f42899d4c511745c9c62d34ba9efbb8e33ab33952265c3a3c8bc9e","1","found"
"M_1_ (14).jpg","M_1","14","0","2","2","0","0","0","180","1","True","True","1","M_1_ (14).jpg","768","1024","RGB","22a2b5fb636321e7f3dd397c1fd1e6c704b8400884ed423d077677dba9382cf1","1","found"
"M_1_ (15).jpg","M_1","15","0","2","2","1","0","0","180","1","True","True","1","M_1_ (15).jpg","768","1024","RGB","1d4d8df60825d168b43435532f7cc4ffeac87b7b03884ae626dff591a26077f2","1","found"
"M_1_ (16).jpg","M_1","16","1","2","2","0","0","0","180","1","True","True","1","M_1_ (16).jpg","768","1024","RGB","5a7764648d33c1e66b597535942e85f1f555422a9c838ec9a52565d751edf29a","1","found"
"M_1_ (17).jpg","M_1","17","1","2","2","1","0","0","180","1","True","True","1","M_1_ (17).jpg","768","1024","RGB","aa238a37a145bdff7e9bac8bf2144d19e807e346e221c98432f121a6864a4cb8","1","found"
"M_1_ (2).jpg","M_1","2","0","1","1","0","0","0","180","1","True","True","1","M_1_ (2).jpg","768","1024","RGB","d8cb3667d0fcac567e7ed868496d411990b87494ed79fd63423e8c2bee62f5b8","1","found"
"M_1_ (3).jpg","M_1","3","0","1","1","1","0","0","180","1","True","True","1","M_1_ (3).jpg","768","1024","RGB","53721e07b9e8c49add7705069c11a39d39f64fc022a4272a3ca83d293009a0dc","1","found"
"M_1_ (4).jpg","M_1","4","1","1","1","0","0","0","180","1","True","True","1","M_1_ (4).jpg","768","1024","RGB","0cb43fd02054a0b6a56bf2960557431dcfb158d5cae0851711236de30a2a8573","1","found"
"M_1_ (5).jpg","M_1","5","1","1","1","1","0","0","180","1","True","True","1","M_1_ (5).jpg","768","1024","RGB","cf085ac07f7386dc77b001885fa9ce8758d3ce604010c4367f1b23e350b18cc6","1","found"
"M_1_ (6).jpg","M_1","6","0","1","2","0","0","0","180","1","True","True","1","M_1_ (6).jpg","768","1024","RGB","b57cffd1b01f46ff5bbf34adaf79088ed5134630990270d0ebc411473a5e4842","1","found"
"M_1_ (7).jpg","M_1","7","0","1","2","1","0","0","180","1","True","True","1","M_1_ (7).jpg","768","1024","RGB","df0e95f86f17f0683ce54d21b070e4770c4aefe99cea858ad48cf08229052e01","1","found"
"M_1_ (8).jpg","M_1","8","1","1","2","0","0","0","180","1","True","True","1","M_1_ (8).jpg","768","1024","RGB","67825725b0fe3ccb9e630c52ee0a9dbec34c2a80f9231d662069fc6de326fe0a","1","found"
"M_1_ (9).jpg","M_1","9","1","1","2","1","0","0","180","1","True","True","1","M_1_ (9).jpg","768","1024","RGB","b68813b73c89dd6b58302957c57a1b20a6944ec20f77596173f48ca8da7c750b","1","found"
"M_2_ (1).jpg","M_2","1","0","0","0","0","1","0","180","1","True","True","1","M_2_ (1).jpg","768","1024","RGB","d7199055422b5ef53d2fed8712eb23690b28e097f83a5b108bdd46645699b728","1","found"
"M_2_ (10).jpg","M_2","10","0","2","1","0","0","0","180","1","True","True","1","M_2_ (10).jpg","768","1024","RGB","2fb2490df26213465e5efa9fb8e1f030bef6269770419cd2fa3daf80abcdf729","1","found"
