omitted_identity,window,factor,n_participants,mean_beta,se,ci95_low,ci95_high,t,p_uncorrected,p_maxT_familywise,cohen_dz,n_permutations,seed,p_BH
F_2,MiddleLate_350_600,Skin,28,-0.1536051551640729,0.10817516535046805,-0.3755622605554638,0.06835195022731802,-1.4199669089149978,0.16706170034160506,0.677032296770323,-0.2683485222092992,10000,20262029,0.3341234006832101
F_2,Late_600_1000,FSlim,28,0.07345091425924463,0.10580703628227316,-0.14364719164305997,0.29054902016154927,0.6941968780156688,0.49348904692801243,0.9874012598740126,0.13119087858192155,10000,20262029,0.5639874822034427
F_2,Late_600_1000,Eye,28,0.3530606285453541,0.09194561439824829,0.16440381106649932,0.5417174460242089,3.8398854676866505,0.0006749658720491236,0.0038996100389961006,0.7256701436049874,10000,20262029,0.005399726976392989
F_2,Late_600_1000,Mouth,28,-0.12424326966499377,0.09748246416663651,-0.32426076446379426,0.07577422513380674,-1.2745191735470736,0.21333980224304877,0.7736226377362264,-0.2408614838849377,10000,20262029,0.341343683588878
F_2,Late_600_1000,Skin,28,-0.0572430748757942,0.11432408470442418,-0.2918167206410085,0.1773305708894201,-0.500708796609145,0.6206334571670373,0.998000199980002,-0.09462506822072993,10000,20262029,0.6206334571670373
M_1,MiddleLate_350_600,FSlim,28,0.023110957297842103,0.06675506937588599,-0.11385913117735919,0.16008104577304338,0.34620527720087274,0.7318718489072048,0.9999000099990001,0.06542664757512066,10000,20262030,0.7668260182068506
M_1,MiddleLate_350_600,Eye,28,-0.07068370474628463,0.09748015577876624,-0.27069646312440904,0.12932905363183977,-0.725108656029471,0.4746233296653196,0.9867013298670133,-0.13703265552530394,10000,20262030,0.6328311062204262
M_1,MiddleLate_350_600,Mouth,28,-0.3575071605978701,0.07574506785510039,-0.5129232022958348,-0.20209111889990533,-4.7198737914101265,6.466434984178753e-05,0.0005999400059994001,-0.8919723051201961,10000,20262030,0.0002586573993671501
M_1,MiddleLate_350_600,Skin,28,-0.4931387695921155,0.10101370220212061,-0.7004017663530782,-0.28587577283115284,-4.881899770442855,4.183356758960366e-05,0.00029997000299970003,-0.9225923370096504,10000,20262030,0.0002586573993671501
M_1,Late_600_1000,FSlim,28,0.02128568732405562,0.07106255473455045,-0.12452263105934544,0.16709400570745667,0.2995345073585789,0.7668260182068506,1.0,0.05660670111093189,10000,20262030,0.7668260182068506
M_1,Late_600_1000,Eye,28,0.1974110441367302,0.095474261594125,0.001514040659483018,0.39330804761397736,2.067688619326046,0.048375147308265865,0.2876712328767123,0.39075641967537306,10000,20262030,0.07740023569322538
M_1,Late_600_1000,Mouth,28,-0.2854784848554873,0.07786606968030838,-0.4452464628239242,-0.12571050688705046,-3.6662757736144247,0.001062556829343697,0.0071992800719928,-0.6928609953403364,10000,20262030,0.002833484878249859
M_1,Late_600_1000,Skin,28,-0.265207853125995,0.10837820505945699,-0.48758156158834665,-0.0428341446636433,-2.447058917247247,0.02119329222611672,0.1332866713328667,-0.46245066703994303,10000,20262030,0.04238658445223344
M_2,MiddleLate_350_600,FSlim,28,0.08416076666253472,0.09447981254639061,-0.10969579591148626,0.2780173292365557,0.8907804153528652,0.3809163327938211,0.9605039496050395,0.16834167512789322,10000,20262031,0.435332951764367
M_2,MiddleLate_350_600,Eye,28,0.11940304609164656,0.08812026779301621,-0.06140480848647875,0.30021090066977185,1.3550009445285598,0.1866466006016989,0.7514248575142486,0.25607110896287105,10000,20262031,0.29863456096271823
M_2,MiddleLate_350_600,Mouth,28,0.05524333864465197,0.10156363932635508,-0.15314803588996037,0.2636347131792643,0.5439283094921226,0.5909545361491283,0.9984001599840016,0.10279278842599496,10000,20262031,0.5909545361491283
M_2,MiddleLate_350_600,Skin,28,-0.1970392052635256,0.08673138749464616,-0.374997312861717,-0.019081097665334196,-2.271832735014053,0.03127870389998867,0.1999800019998,-0.4293360312273489,10000,20262031,0.08340987706663645
M_2,Late_600_1000,FSlim,28,0.08214276430964092,0.08453537417799974,-0.09130949615085827,0.2555950247701401,0.9716969388066954,0.339826550265383,0.9377062293770623,0.18363346070037598,10000,20262031,0.435332951764367
M_2,Late_600_1000,Eye,28,0.44921041220999364,0.07799154486731014,0.28918498042380547,0.6092358439961818,5.759732198846064,3.993940203835693e-06,9.999000099990002e-05,1.0884870726055649,10000,20262031,3.1951521630685545e-05
M_2,Late_600_1000,Mouth,28,0.22179191881780586,0.09211893097567109,0.03277948509638309,0.41080435253922865,2.4076692648157394,0.023157635314242198,0.15378462153784622,0.4550067224282972,10000,20262031,0.08340987706663645
M_2,Late_600_1000,Skin,28,-0.1425396752515005,0.0904744484371486,-0.32817790951656384,0.043098559013562854,-1.5754688501972012,0.12679440942363643,0.5972402759724028,-0.2977356268536192,10000,20262031,0.25358881884727286
